title,price,rating,reviews,availability
PlayStation 4 Move Motion Controller (Bulk Packaging),,4.3 out of 5 stars,598 ratings,Not Available
Grand Theft Auto V Premium Edition Playstation 4,,4.8 out of 5 stars,"9,477 ratings",In Stock
World of Outlaws Dirt Racing - Standard Edition PlayStation 4,,4.7 out of 5 stars,250 ratings,Not Available
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,023 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,382 ratings",
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,202 ratings",Only 3 left in stock - order soon
Sony PlayStation 4 Pro 1TB White (PS4),,4.4 out of 5 stars,937 ratings,Only 3 left in stock - order soon
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,654 ratings",Only 2 left in stock - order soon
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,307 ratings,Not Available
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.8 out of 5 stars,8 ratings,Not Available
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"6,390 ratings",In Stock
"Tatybo 7.1 Surround Sound Gaming Headset for PC PS4 PS5 Switch, USB & 3.5mm PC Headset with Noise Cancelling Mic",,4.3 out of 5 stars,231 ratings,Not Available
"eeidc 2 Pack Wireless Controller for PS4, Remote Control for Playstation 4/Slim/Pro with Double Shock/Audio/Six-axis Motion Sensor(Purple and Blue Camo)",,5.0 out of 5 stars,1 rating,Not Available
Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"2,228 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,,4.7 out of 5 stars,"145,309 ratings",Not Available
"PS4 Fan Cooling Fan with Controller Charger Compatible with Playstation 4/PS4 Slim/PS4 Pro, PS4 Stand Vertical Cooling Station for PS4 Accessories,PS4 Pro Cooling Fan with Dual Charger & 12 Game Slots",,4.3 out of 5 stars,"1,313 ratings",Not Available
"BEAVIIOO Wireless Gaming Headset with Microphone for PC PS4 PS5 Playstation 4 5, 2.4G Wireless Bluetooth USB Gamer Headphones with Mic for Laptop Computer",,4.3 out of 5 stars,"3,291 ratings",Not Available
"10 Feet AC Power Cord for Playstation 4 (PS4) Slim/Playstation 5 (PS5) Xbox One S/X, Xbox Series S/X Game Console Replacement Power Cable",,4.8 out of 5 stars,"15,105 ratings",Not Available
"Heiko Wireless Controller Compatible with PS4 / PS4 Slim / PS4 Pro & PC, Enhanced Dualshock PS4 Controller with 1000mAH Battery, 6-Axis Gyro Sensor, Game Controller (Blue Cloud)",,4.0 out of 5 stars,68 ratings,Not Available
"Aoidaruy Wireless Controller for PS4, Compatible with PS4/PS3/PC/Mac/Ios/Android/Switch, PS4 Remote Joystick Controller Dualshocked, Gaming Controller Auto Fire Turbo Button and Custom Ps4 Controller",,5.0 out of 5 stars,2 ratings,Not Available
Skylanders SWAP Force Starter Pack - PlayStation 4,,4.5 out of 5 stars,337 ratings,Not Available
